,player,1_RBI_rate_over,2_RBI_rate_over,3_RBI_rate_over,4_RBI_rate_over
142,Trevor Larnach,0.3111111111111111,0.08888888888888889,0.044444444444444446,0.044444444444444446
143,Trey Sweeney,0.2857142857142857,0.11428571428571428,0.08571428571428572,0.02857142857142857
144,Triston Casas,0.29411764705882354,0.058823529411764705,0.029411764705882353,0.029411764705882353
145,Ty France,0.4791666666666667,0.10416666666666667,0.0,0.0
146,Tyler Fitzgerald,0.375,0.15625,0.03125,0.03125
147,Victor Robles,0.34375,0.09375,0.0,0.0
148,Vinnie Pasquantino,0.5098039215686274,0.19607843137254902,0.11764705882352941,0.0
149,Vladimir Guerrero Jr.,0.4482758620689655,0.1724137931034483,0.034482758620689655,0.0
150,Will Smith,0.3611111111111111,0.2222222222222222,0.05555555555555555,0.0
151,Willi Castro,0.42857142857142855,0.11428571428571428,0.02857142857142857,0.0
152,Willson Contreras,0.42424242424242425,0.18181818181818182,0.0,0.0
153,Willy Adames,0.4074074074074074,0.2037037037037037,0.12962962962962962,0.037037037037037035
154,Wyatt Langford,0.38181818181818183,0.14545454545454545,0.05454545454545454,0.0
155,Xander Bogaerts,0.37037037037037035,0.07407407407407407,0.018518518518518517,0.0
156,Xavier Edwards,0.3023255813953488,0.06976744186046512,0.023255813953488372,0.023255813953488372
157,Yandy Diaz,0.3684210526315789,0.16842105263157894,0.06315789473684211,0.010526315789473684
158,Yordan Alvarez,0.4772727272727273,0.1590909090909091,0.09090909090909091,0.022727272727272728
159,Zack Gelof,0.2647058823529412,0.058823529411764705,0.029411764705882353,0.029411764705882353
