,home_player,home_RBI,away_team,games_played,home_AB,home_BB,home_K
6191,,,LAD,1,,,
6192,,,LAD,1,,,
6193,,,LAD,1,,,
6194,Xavier Edwards,0.0,LAD,1,4.0,1.0,1.0
6195,Kyle Stowers,0.0,LAD,1,4.0,1.0,1.0
6196,Eric Wagaman,0.0,LAD,1,5.0,0.0,2.0
6197,Juan Soto,0.0,LAD,1,5.0,0.0,1.0
6198,Connor Norby,1.0,LAD,1,5.0,0.0,1.0
6199,Dane Myers,0.0,LAD,1,4.0,0.0,1.0
6200,Graham Pauley,0.0,LAD,1,1.0,1.0,1.0
6201,Graham Pauley,0.0,ATH,1,1.0,1.0,1.0
6202,Agustin Ramirez,3.0,LAD,1,2.0,0.0,1.0
6203,Nick Fortes,0.0,LAD,1,2.0,0.0,0.0
6204,Ronny Simon,0.0,BAL,1,2.0,0.0,0.0
6205,Javier Sanoja,0.0,LAD,1,3.0,0.0,0.0
6206,Matt Mervis,0.0,LAD,1,1.0,0.0,1.0
6207,,4.0,LAD,1,38.0,3.0,10.0
6208,Trent Grisham,2.0,SDP,1,3.0,1.0,0.0
6209,Aaron Judge,0.0,SDP,1,3.0,1.0,0.0
6210,Ben Rice,0.0,SDP,1,4.0,0.0,1.0
6211,Paul Goldschmidt,0.0,SDP,1,4.0,0.0,1.0
6212,Cody Bellinger,0.0,SDP,1,4.0,0.0,1.0
6213,Anthony Volpe,1.0,SDP,1,3.0,0.0,1.0
6214,Austin Wells,0.0,SDP,1,4.0,0.0,1.0
6215,Oswald Peraza,0.0,SDP,1,2.0,1.0,1.0
6216,Jasson Dominguez,0.0,SDP,1,1.0,0.0,1.0
6217,Jorbit Vivas,0.0,SDP,1,2.0,1.0,2.0
6218,,3.0,SDP,1,30.0,4.0,9.0
6219,,,SDP,1,,,
6220,,,SDP,1,,,
6221,Alex Verdugo,1.0,CIN,1,3.0,1.0,0.0
6222,Austin Riley,1.0,CIN,1,4.0,0.0,0.0
6223,Marcell Ozuna,0.0,CIN,1,3.0,1.0,0.0
6224,Matt Olson,2.0,CIN,1,3.0,1.0,0.0
6225,Sean Murphy,0.0,CIN,1,4.0,0.0,1.0
6226,Ozzie Albies,0.0,CIN,1,4.0,0.0,1.0
6227,Michael Harris II,0.0,CIN,1,4.0,0.0,2.0
6228,Eli White,0.0,CIN,1,3.0,0.0,0.0
6229,Nick Allen,0.0,CIN,1,3.0,0.0,0.0
6230,,4.0,CIN,1,31.0,3.0,4.0
6231,,,CIN,1,,,
6232,Jonathan India,0.0,CHW,1,4.0,0.0,0.0
6233,Hunter Renfroe,0.0,CHW,1,0.0,0.0,0.0
6234,Bobby Witt Jr.,1.0,CHW,1,3.0,1.0,0.0
6235,Vinnie Pasquantino,0.0,CHW,1,4.0,0.0,2.0
6236,Salvador Perez,0.0,CHW,1,3.0,1.0,2.0
6237,Maikel Garcia,1.0,CHW,1,2.0,2.0,1.0
6238,Michael Massey,0.0,CHW,1,4.0,0.0,1.0
6239,Drew Waters,1.0,CHW,1,3.0,1.0,1.0
6240,Freddy Fermin,0.0,CHW,1,4.0,0.0,0.0
6241,Kyle Isbel,0.0,CHW,1,3.0,0.0,0.0
6242,,3.0,CHW,1,30.0,5.0,7.0
6243,Jackson Chourio,0.0,HOU,1,4.0,0.0,0.0
6244,Isaac Collins,0.0,HOU,1,3.0,1.0,1.0
6245,Willson Contreras,1.0,HOU,1,4.0,0.0,3.0
6246,Christian Yelich,2.0,HOU,1,3.0,1.0,1.0
6247,Rhys Hoskins,1.0,TBR,1,4.0,0.0,2.0
6248,Daz Cameron,0.0,HOU,1,0.0,0.0,0.0
6249,Jake Bauers,1.0,HOU,1,4.0,0.0,0.0
