away_hitters,away_AB,away_R,away_H,away_RBI,away_HR,away_BB,away_K,away_AVG,away_OBP,away_SLG,home_hitters,home_AB,home_R,home_H,home_RBI,home_HR,home_BB,home_K,home_AVG,home_OBP,home_SLG
aR. HoskinsPH-1B,1,0,0,1,0,0,1,.224,.318,.404,M. Toglia1B,1,0,0,1,0,2,1,.182,.245,.424
S. FrelickRF,3,0,1,1,0,0,0,.271,.345,.341,N. JonesLF,3,0,0,0,0,0,2,.189,.295,.315
bB. PerkinsPH-CF,2,0,1,0,0,0,1,.248,.322,.359,H. GoodmanRF,3,0,0,0,0,0,0,.185,.217,.426
J. ChourioLF,4,1,2,0,0,0,0,.248,.292,.393,J. CaveRF,0,0,0,0,0,0,0,.247,.300,.322
A. Monasterio3B,3,1,1,0,0,1,1,.196,.297,.286,aC. BlackmonPH,1,0,0,0,0,0,0,.258,.327,.407
team,36,4,12,4,0,5,6,,,,S. HilliardRF,0,0,0,0,0,0,0,.000,.286,.000
,,,,,,,,,,,team,32,3,7,3,1,6,9,,,
N. Schanuel1B,4,1,2,4,0,0,1,.239,.311,.355,J. BledayCF,4,0,1,1,0,0,0,.242,.323,.439
L. Rengifo3B,5,0,2,1,0,0,1,.319,.362,.448,M. AndujarLF,4,0,0,0,0,0,0,.295,.324,.386
T. WardLF,5,0,1,0,0,0,2,.243,.327,.435,B. RookerDH,3,1,1,1,1,1,0,.261,.338,.515
W. CalhounDH,4,0,0,0,0,0,2,.274,.327,.395,S. LangeliersC,4,1,1,0,0,0,2,.203,.256,.430
L. O'HoppeC,3,0,2,0,0,1,0,.280,.332,.480,T. Soderstrom1B,4,0,0,0,0,0,1,.219,.310,.422
Z. NetoSS,4,0,1,0,0,0,0,.249,.300,.434,Z. Gelof2B,2,2,0,0,0,1,1,.202,.260,.366
B. Drury2B,2,3,1,0,0,2,0,.175,.246,.237,L. ButlerRF,4,2,2,3,1,0,2,.188,.266,.297
M. MoniakCF,4,1,1,0,0,0,1,.196,.248,.309,B. Harris3B,4,1,1,2,0,0,0,.128,.288,.340
J. AdellRF,4,0,1,0,0,0,2,.187,.249,.396,M. SchuemannSS,2,0,1,0,0,0,0,.227,.316,.315
team,35,5,11,5,0,3,9,,,,team,31,7,7,7,2,2,6,,,
G. HendersonSS,4,1,1,0,0,0,3,.288,.383,.600,J.P. CrawfordSS,4,0,0,0,0,0,0,.211,.309,.354
A. RutschmanC,4,0,0,0,0,0,0,.291,.346,.465,T. France1B,2,0,0,0,0,2,0,.230,.325,.369
R. O'Hearn1B,4,0,2,0,0,0,0,.289,.349,.466,L. RaleyLF,3,0,0,0,0,0,2,.257,.304,.443
A. SantanderRF,4,0,2,1,0,0,0,.234,.302,.503,C. RaleighC,3,0,0,0,0,1,2,.200,.288,.385
