away_hitters,away_AB,away_R,away_H,away_RBI,away_HR,away_BB,away_K,away_AVG,away_OBP,away_SLG,home_hitters,home_AB,home_R,home_H,home_RBI,home_HR,home_BB,home_K,home_AVG,home_OBP,home_SLG
H. SengerC,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,team,29.0,3.0,7.0,2.0,0.0,5.0,7.0,,,
team,30.0,1.0,6.0,1.0,0.0,6.0,7.0,,,,,,,,,,,,,,
J. ProfarLF,5.0,1.0,1.0,0.0,0.0,0.0,3.0,0.2,0.2,0.2,F. Tatis Jr.RF,4.0,2.0,3.0,0.0,0.0,0.0,1.0,0.75,0.75,0.75
A. Riley3B,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.2,0.2,0.8,L. Arraez1B,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
M. Olson1B,2.0,0.0,1.0,0.0,0.0,3.0,0.0,0.5,0.8,0.5,M. Machado3B,3.0,3.0,2.0,1.0,0.0,1.0,1.0,0.667,0.75,1.333
M. OzunaDH,3.0,1.0,1.0,0.0,0.0,2.0,1.0,0.333,0.6,0.333,X. BogaertsSS,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.333,0.5,0.333
O. Albies2B,5.0,1.0,1.0,3.0,1.0,0.0,0.0,0.2,0.2,0.8,J. MerrillCF,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.333,0.25,0.333
M. Harris IICF,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.25,0.25,0.25,Y. GurrielDH,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D. BaldwinC,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.25,0.0,J. Cronenworth2B,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
O. ArciaSS,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.25,0.25,0.25,B. LockridgeLF,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
J. KelenicRF,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,aG. SheetsPH,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0
team,35.0,4.0,7.0,4.0,2.0,6.0,10.0,,,,M. MaldonadoC,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
,,,,,,,,,,,E. DiazC,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.667,0.667,0.667
,,,,,,,,,,,J. HeywardPR-LF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,team,31.0,7.0,10.0,7.0,1.0,2.0,9.0,,,
M. WallnerRF,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.2,0.0,L. NootbaarLF,4.0,2.0,2.0,2.0,1.0,0.0,0.0,0.5,0.5,1.25
C. CorreaSS,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,W. Contreras1B,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
B. BuxtonCF,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,B. Donovan2B,4.0,1.0,2.0,1.0,0.0,0.0,1.0,0.5,0.5,0.5
T. LarnachDH,3.0,1.0,2.0,0.0,0.0,1.0,1.0,0.667,0.75,0.667,N. Arenado3B,4.0,1.0,2.0,1.0,1.0,0.0,0.0,0.5,0.5,1.25
D. Keirsey Jr.PR-DH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A. BurlesonDH,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25
R. JeffersC,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.25,0.25,0.25,I. HerreraC,3.0,0.0,2.0,1.0,0.0,1.0,0.0,0.667,0.75,1.0
T. France1B,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.25,0.25,0.25,M. SianiPR-CF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W. Castro2B,3.0,0.0,1.0,1.0,0.0,1.0,2.0,0.333,0.5,0.667,J. WalkerRF,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.333,0.5,0.333
J. Miranda3B,4.0,1.0,1.0,0.0,0.0,0.0,2.0,0.25,0.25,0.25,P. PagesC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H. BaderLF,4.0,1.0,2.0,2.0,1.0,0.0,0.0,0.5,0.5,1.5,V. Scott IICF-RF,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
team,34.0,3.0,8.0,3.0,1.0,3.0,11.0,,,,M. WinnSS,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
,,,,,,,,,,,team,33.0,5.0,10.0,5.0,2.0,2.0,5.0,,,
A. Ibanez3B,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,S. OhtaniDH,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.417,0.5,1.0
G. Torres2B,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,M. BettsSS,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.333,0.5,0.333
R. GreeneLF-CF,5.0,0.0,1.0,0.0,0.0,0.0,3.0,0.2,0.2,0.2,T. HernándezRF,4.0,1.0,1.0,3.0,1.0,0.0,1.0,0.167,0.231,0.417
S. TorkelsonDH,1.0,2.0,1.0,1.0,1.0,4.0,0.0,1.0,1.0,4.0,F. Freeman1B,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
