away_hitters,away_AB,away_R,away_H,away_RBI,away_HR,away_BB,away_K,away_AVG,away_OBP,away_SLG,home_hitters,home_AB,home_R,home_H,home_RBI,home_HR,home_BB,home_K,home_AVG,home_OBP,home_SLG
J. WilsonSS,3,0,1,0,0,0,0,.333,.333,.333,J.P. CrawfordSS,2,1,0,0,0,1,1,.000,.333,.000
team,29,2,3,2,2,1,10,,,,team,25,4,5,4,2,7,7,,,
B. DoyleCF,5,0,0,0,0,0,3,.000,.000,.000,C. Mead1B,4,0,0,0,0,0,2,.000,.000,.000
E. TovarSS,4,0,2,1,0,0,1,.500,.500,.750,Y. DiazDH,4,0,1,0,0,0,0,.250,.250,.250
R. McMahon3B,3,0,3,0,0,1,0,1.000,1.000,1.333,B. Lowe2B,4,1,1,0,0,0,1,.250,.250,.250
K. BryantDH,4,0,0,0,0,0,1,.000,.000,.000,J. Caminero3B,4,1,1,0,0,0,1,.250,.250,.500
M. Toglia1B,3,1,0,0,0,0,3,.000,.250,.000,C. MorelLF,2,0,0,0,0,0,1,.000,.000,.000
H. GoodmanC,4,0,2,0,0,0,0,.500,.500,.750,aJ. ArandaPH,0,0,0,1,0,0,0,.000,.000,.000
N. MartiniRF,3,0,0,0,0,1,2,.000,.250,.000,K. MisnerLF,1,1,1,1,1,0,0,1.000,1.000,4.000
M. MoniakPR-RF,0,0,0,0,0,0,0,.000,.000,.000,D. JansenC,2,0,0,0,0,1,2,.000,.333,.000
K. Farmer2B,3,0,0,1,0,0,1,.000,.000,.000,J. LoweRF,2,0,1,0,0,0,0,.500,.500,.500
J. BeckLF,3,1,0,0,0,1,1,.000,.250,.000,J. CaballeroPR-RF,1,0,1,1,0,0,0,1.000,1.000,1.000
team,32,2,7,2,0,3,12,,,,J. DeLucaCF,3,0,1,0,0,0,1,.333,.333,.333
,,,,,,,,,,,T. WallsSS,3,0,0,0,0,0,1,.000,.000,.000
,,,,,,,,,,,team,30,3,7,3,1,1,9,,,
C. CowserLF,4,0,0,0,0,0,2,.000,.222,.000,B. BichetteSS,4,1,2,1,0,0,0,.250,.333,.250
A. RutschmanC,2,1,0,0,0,2,0,.429,.556,1.286,V. Guerrero Jr.1B,4,0,2,1,0,0,2,.333,.444,.500
J. Westburg3B,4,0,0,0,0,0,1,.250,.333,.625,A. SantanderDH,4,1,2,0,0,1,1,.250,.333,.250
R. O'HearnDH,3,0,1,0,0,1,0,.250,.333,.250,A. Gimenez2B,5,1,1,0,0,0,2,.250,.333,.625
T. O'NeillRF,3,0,0,1,0,0,0,.500,.556,1.000,A. KirkC,4,1,1,0,0,0,1,.250,.250,.250
C. MullinsCF,3,0,0,0,0,1,2,.375,.444,1.125,G. SpringerRF-CF,4,1,2,0,0,0,1,.286,.375,.286
R. Mountcastle1B,4,0,0,0,0,0,1,.111,.111,.222,W. Wagner3B,3,1,2,0,0,0,1,.500,.500,.667
J. Holliday2B,3,1,2,1,1,0,1,.375,.375,.750,aE. Clement3B-PH-3B,1,0,1,2,0,0,0,.250,.250,.500
J. MateoSS,3,0,0,0,0,0,2,.000,.000,.000,N. LukesCF,2,2,1,1,0,1,1,.500,.667,.500
team,29,2,3,2,1,4,9,,,,bD. SchneiderLF-PH-LF,0,0,0,0,0,1,0,.000,1.000,.000
,,,,,,,,,,,A. RodenLF-RF,3,0,0,1,0,0,0,.200,.286,.200
,,,,,,,,,,,team,34,8,14,6,0,3,9,,,
T. PhamLF,5,1,0,0,0,0,0,.125,.300,.250,X. EdwardsSS,4,0,2,0,0,0,0,.286,.444,.286
B. ReynoldsRF,5,0,0,0,0,0,3,.111,.200,.111,K. StowersLF,4,0,0,0,0,0,2,.143,.333,.143
O. CruzCF,4,2,2,2,1,1,0,.250,.400,.625,J. BrideDH,4,0,0,0,0,0,2,.143,.250,.143
J. BartC,2,1,1,0,0,2,1,.167,.444,.167,M. Mervis1B,3,1,1,0,0,1,0,.143,.250,.143
A. McCutchenDH,3,0,1,1,0,1,0,.143,.250,.286,O. Lopez2B,3,1,1,2,1,1,0,.333,.500,.833
K. Hayes3B,4,0,1,0,0,0,0,.250,.250,.250,G. ConineRF,2,0,1,0,0,0,0,.250,.250,.250
