,player,1_hits_count,2_hits_count,3_hits_count,4_hits_count,games_played
630,Will Wagner,14,6,3,1,25
631,Will Wilson,3,1,0,0,9
632,Willi Castro,23,7,1,0,38
633,William Contreras,30,14,5,1,49
634,Willie Calhoun,3,0,0,0,5
635,Willson Contreras,21,8,0,0,29
636,Willy Adames,34,15,5,0,53
637,Wilmer Flores,15,4,1,0,21
638,Wilyer Abreu,29,11,4,0,53
639,Wyatt Langford,40,12,5,0,57
640,Xander Bogaerts,33,14,2,0,52
641,Xavier Edwards,32,16,2,1,40
642,Yandy Diaz,71,36,15,1,93
643,Yasmani Grandal,5,2,1,0,13
644,Yerry De los Santos,0,0,0,0,1
645,Yoan Moncada,9,1,0,0,14
646,Yohel Pozo,2,1,1,0,2
647,Yordan Alvarez,35,16,5,2,49
648,Yuli Gurriel,8,2,0,0,16
649,Zac Veen,0,0,0,0,1
650,Zach DeLoach,5,1,0,0,5
651,Zach Dezenzo,10,5,1,0,17
652,Zach McKinstry,22,7,1,0,40
653,Zach Neto,18,8,3,0,33
654,Zach Penrod,0,0,0,0,1
655,Zack Gelof,17,8,4,0,35
656,Zack Short,0,0,0,0,4
